O*NET-SOC 2010 Code,O*NET-SOC 2010 Title,O*NET-SOC 2019 Code,O*NET-SOC 2019 Title
23-2091.00,Court Reporters,27-3092.00,Court Reporters and Simultaneous Captioners
23-2093.00,"Title Examiners, Abstractors, and Searchers",23-2093.00,"Title Examiners, Abstractors, and Searchers"
23-2099.00,"Legal Support Workers, All Other",23-2099.00,"Legal Support Workers, All Other"
25-1011.00,"Business Teachers, Postsecondary",25-1011.00,"Business Teachers, Postsecondary"
25-1021.00,"Computer Science Teachers, Postsecondary",25-1021.00,"Computer Science Teachers, Postsecondary"
25-1022.00,"Mathematical Science Teachers, Postsecondary",25-1022.00,"Mathematical Science Teachers, Postsecondary"
25-1031.00,"Architecture Teachers, Postsecondary",25-1031.00,"Architecture Teachers, Postsecondary"
25-1032.00,"Engineering Teachers, Postsecondary",25-1032.00,"Engineering Teachers, Postsecondary"
25-1041.00,"Agricultural Sciences Teachers, Postsecondary",25-1041.00,"Agricultural Sciences Teachers, Postsecondary"
25-1042.00,"Biological Science Teachers, Postsecondary",25-1042.00,"Biological Science Teachers, Postsecondary"
25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary",25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary"
25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary"
25-1052.00,"Chemistry Teachers, Postsecondary",25-1052.00,"Chemistry Teachers, Postsecondary"
25-1053.00,"Environmental Science Teachers, Postsecondary",25-1053.00,"Environmental Science Teachers, Postsecondary"
25-1054.00,"Physics Teachers, Postsecondary",25-1054.00,"Physics Teachers, Postsecondary"
25-1061.00,"Anthropology and Archeology Teachers, Postsecondary",25-1061.00,"Anthropology and Archeology Teachers, Postsecondary"
25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
25-1063.00,"Economics Teachers, Postsecondary",25-1063.00,"Economics Teachers, Postsecondary"
25-1064.00,"Geography Teachers, Postsecondary",25-1064.00,"Geography Teachers, Postsecondary"
25-1065.00,"Political Science Teachers, Postsecondary",25-1065.00,"Political Science Teachers, Postsecondary"
25-1066.00,"Psychology Teachers, Postsecondary",25-1066.00,"Psychology Teachers, Postsecondary"
25-1067.00,"Sociology Teachers, Postsecondary",25-1067.00,"Sociology Teachers, Postsecondary"
25-1069.00,"Social Sciences Teachers, Postsecondary, All Other",25-1069.00,"Social Sciences Teachers, Postsecondary, All Other"
25-1071.00,"Health Specialties Teachers, Postsecondary",25-1071.00,"Health Specialties Teachers, Postsecondary"
25-1072.00,"Nursing Instructors and Teachers, Postsecondary",25-1072.00,"Nursing Instructors and Teachers, Postsecondary"
25-1081.00,"Education Teachers, Postsecondary",25-1081.00,"Education Teachers, Postsecondary"
25-1082.00,"Library Science Teachers, Postsecondary",25-1082.00,"Library Science Teachers, Postsecondary"
25-1111.00,"Criminal Justice and Law Enforcement Teachers, Postsecondary",25-1111.00,"Criminal Justice and Law Enforcement Teachers, Postsecondary"
25-1112.00,"Law Teachers, Postsecondary",25-1112.00,"Law Teachers, Postsecondary"
25-1113.00,"Social Work Teachers, Postsecondary",25-1113.00,"Social Work Teachers, Postsecondary"
25-1121.00,"Art, Drama, and Music Teachers, Postsecondary",25-1121.00,"Art, Drama, and Music Teachers, Postsecondary"
25-1122.00,"Communications Teachers, Postsecondary",25-1122.00,"Communications Teachers, Postsecondary"
25-1123.00,"English Language and Literature Teachers, Postsecondary",25-1123.00,"English Language and Literature Teachers, Postsecondary"
25-1124.00,"Foreign Language and Literature Teachers, Postsecondary",25-1124.00,"Foreign Language and Literature Teachers, Postsecondary"
25-1125.00,"History Teachers, Postsecondary",25-1125.00,"History Teachers, Postsecondary"
25-1126.00,"Philosophy and Religion Teachers, Postsecondary",25-1126.00,"Philosophy and Religion Teachers, Postsecondary"
25-1191.00,Graduate Teaching Assistants,25-9044.00,"Teaching Assistants, Postsecondary"
25-1192.00,"Home Economics Teachers, Postsecondary",25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary"
25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary",25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary"
25-1194.00,"Vocational Education Teachers, Postsecondary",25-1194.00,"Career/Technical Education Teachers, Postsecondary"
25-1199.00,"Postsecondary Teachers, All Other",25-1199.00,"Postsecondary Teachers, All Other"
25-2011.00,"Preschool Teachers, Except Special Education",25-2011.00,"Preschool Teachers, Except Special Education"
25-2012.00,"Kindergarten Teachers, Except Special Education",25-2012.00,"Kindergarten Teachers, Except Special Education"
25-2021.00,"Elementary School Teachers, Except Special Education",25-2021.00,"Elementary School Teachers, Except Special Education"
25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education",25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education"
25-2023.00,"Career/Technical Education Teachers, Middle School",25-2023.00,"Career/Technical Education Teachers, Middle School"
25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education",25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education"
25-2032.00,"Career/Technical Education Teachers, Secondary School",25-2032.00,"Career/Technical Education Teachers, Secondary School"
25-2051.00,"Special Education Teachers, Preschool",25-2051.00,"Special Education Teachers, Preschool"
25-2052.00,"Special Education Teachers, Kindergarten and Elementary School",25-2055.00,"Special Education Teachers, Kindergarten"
25-2052.00,"Special Education Teachers, Kindergarten and Elementary School",25-2056.00,"Special Education Teachers, Elementary School"
25-2053.00,"Special Education Teachers, Middle School",25-2057.00,"Special Education Teachers, Middle School"
25-2054.00,"Special Education Teachers, Secondary School",25-2058.00,"Special Education Teachers, Secondary School"
25-2059.00,"Special Education Teachers, All Other",25-2059.00,"Special Education Teachers, All Other"
25-2059.01,Adapted Physical Education Specialists,25-2059.01,Adapted Physical Education Specialists
25-3011.00,Adult Basic and Secondary Education and Literacy Teachers and Instructors,25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors"
25-3021.00,Self-Enrichment Education Teachers,25-3021.00,Self-Enrichment Teachers
25-3099.00,"Teachers and Instructors, All Other",25-3031.00,"Substitute Teachers, Short-Term"
25-3099.00,"Teachers and Instructors, All Other",25-3099.00,"Teachers and Instructors, All Other"
25-3099.02,Tutors,25-3041.00,Tutors
25-4011.00,Archivists,25-4011.00,Archivists
25-4012.00,Curators,25-4012.00,Curators
25-4013.00,Museum Technicians and Conservators,25-4013.00,Museum Technicians and Conservators
25-4021.00,Librarians,25-4022.00,Librarians and Media Collections Specialists
25-4031.00,Library Technicians,25-4031.00,Library Technicians
25-9011.00,Audio-Visual and Multimedia Collections Specialists,25-4022.00,Librarians and Media Collections Specialists
25-9021.00,Farm and Home Management Advisors,25-9021.00,Farm and Home Management Educators
25-9031.00,Instructional Coordinators,25-9031.00,Instructional Coordinators
25-9031.01,Instructional Designers and Technologists,25-9031.00,Instructional Coordinators
25-9041.00,Teacher Assistants,25-9042.00,"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education"
25-9041.00,Teacher Assistants,25-9043.00,"Teaching Assistants, Special Education"
25-9041.00,Teacher Assistants,25-9049.00,"Teaching Assistants, All Other"
25-9099.00,"Education, Training, and Library Workers, All Other",25-9099.00,"Educational Instruction and Library Workers, All Other"
27-1011.00,Art Directors,27-1011.00,Art Directors
27-1012.00,Craft Artists,27-1012.00,Craft Artists
27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators",27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators"
27-1014.00,Multimedia Artists and Animators,27-1014.00,Special Effects Artists and Animators
27-1019.00,"Artists and Related Workers, All Other",27-1019.00,"Artists and Related Workers, All Other"
27-1021.00,Commercial and Industrial Designers,27-1021.00,Commercial and Industrial Designers
27-1022.00,Fashion Designers,27-1022.00,Fashion Designers
27-1023.00,Floral Designers,27-1023.00,Floral Designers
27-1024.00,Graphic Designers,27-1024.00,Graphic Designers
27-1025.00,Interior Designers,27-1025.00,Interior Designers
27-1026.00,Merchandise Displayers and Window Trimmers,27-1026.00,Merchandise Displayers and Window Trimmers
27-1027.00,Set and Exhibit Designers,27-1027.00,Set and Exhibit Designers
27-1029.00,"Designers, All Other",27-1029.00,"Designers, All Other"
27-2011.00,Actors,27-2011.00,Actors
27-2012.00,Producers and Directors,27-2012.00,Producers and Directors
27-2012.01,Producers,27-2012.00,Producers and Directors
27-2012.02,"Directors- Stage, Motion Pictures, Television, and Radio",27-2012.00,Producers and Directors
27-2012.03,Program Directors,27-2012.03,Media Programming Directors
27-2012.04,Talent Directors,27-2012.04,Talent Directors
27-2012.05,Technical Directors/Managers,27-2012.05,Media Technical Directors/Managers
27-2021.00,Athletes and Sports Competitors,27-2021.00,Athletes and Sports Competitors
27-2022.00,Coaches and Scouts,27-2022.00,Coaches and Scouts
27-2023.00,"Umpires, Referees, and Other Sports Officials",27-2023.00,"Umpires, Referees, and Other Sports Officials"
27-2031.00,Dancers,27-2031.00,Dancers
27-2032.00,Choreographers,27-2032.00,Choreographers
27-2041.00,Music Directors and Composers,27-2041.00,Music Directors and Composers
27-2041.01,Music Directors,27-2041.00,Music Directors and Composers
27-2041.04,Music Composers and Arrangers,27-2041.00,Music Directors and Composers
27-2042.00,Musicians and Singers,27-2042.00,Musicians and Singers
27-2042.01,Singers,27-2042.00,Musicians and Singers
27-2042.02,"Musicians, Instrumental",27-2042.00,Musicians and Singers
27-2099.00,"Entertainers and Performers, Sports and Related Workers, All Other",27-2091.00,"Disc Jockeys, Except Radio"
27-2099.00,"Entertainers and Performers, Sports and Related Workers, All Other",27-2099.00,"Entertainers and Performers, Sports and Related Workers, All Other"
27-3011.00,Radio and Television Announcers,27-3011.00,Broadcast Announcers and Radio Disc Jockeys
27-3012.00,Public Address System and Other Announcers,27-3099.00,"Media and Communication Workers, All Other"
27-3021.00,Broadcast News Analysts,27-3023.00,"News Analysts, Reporters, and Journalists"
27-3022.00,Reporters and Correspondents,27-3023.00,"News Analysts, Reporters, and Journalists"
27-3031.00,Public Relations Specialists,27-3031.00,Public Relations Specialists
27-3041.00,Editors,27-3041.00,Editors
27-3042.00,Technical Writers,27-3042.00,Technical Writers
27-3043.00,Writers and Authors,27-3043.00,Writers and Authors
27-3043.04,Copy Writers,27-3043.00,Writers and Authors
27-3043.05,"Poets, Lyricists and Creative Writers",27-3043.05,"Poets, Lyricists and Creative Writers"
27-3091.00,Interpreters and Translators,27-3091.00,Interpreters and Translators
27-3099.00,"Media and Communication Workers, All Other",27-3099.00,"Media and Communication Workers, All Other"
27-4011.00,Audio and Video Equipment Technicians,27-4011.00,Audio and Video Technicians
27-4012.00,Broadcast Technicians,27-4012.00,Broadcast Technicians
27-4013.00,Radio Operators,43-2099.00,"Communications Equipment Operators, All Other"
27-4014.00,Sound Engineering Technicians,27-4014.00,Sound Engineering Technicians
27-4021.00,Photographers,27-4021.00,Photographers
27-4031.00,"Camera Operators, Television, Video, and Motion Picture",27-4031.00,"Camera Operators, Television, Video, and Film"
27-4032.00,Film and Video Editors,27-4032.00,Film and Video Editors
27-4099.00,"Media and Communication Equipment Workers, All Other",27-4015.00,Lighting Technicians
27-4099.00,"Media and Communication Equipment Workers, All Other",27-4099.00,"Media and Communication Equipment Workers, All Other"
29-1011.00,Chiropractors,29-1011.00,Chiropractors
29-1021.00,"Dentists, General",29-1021.00,"Dentists, General"
29-1022.00,Oral and Maxillofacial Surgeons,29-1022.00,Oral and Maxillofacial Surgeons
29-1023.00,Orthodontists,29-1023.00,Orthodontists
29-1024.00,Prosthodontists,29-1024.00,Prosthodontists
29-1029.00,"Dentists, All Other Specialists",29-1029.00,"Dentists, All Other Specialists"
29-1031.00,Dietitians and Nutritionists,29-1031.00,Dietitians and Nutritionists
29-1041.00,Optometrists,29-1041.00,Optometrists
29-1051.00,Pharmacists,29-1051.00,Pharmacists
29-1061.00,Anesthesiologists,29-1211.00,Anesthesiologists
29-1062.00,Family and General Practitioners,29-1215.00,Family Medicine Physicians
29-1063.00,"Internists, General",29-1216.00,General Internal Medicine Physicians
29-1064.00,Obstetricians and Gynecologists,29-1218.00,Obstetricians and Gynecologists
29-1065.00,"Pediatricians, General",29-1221.00,"Pediatricians, General"
29-1066.00,Psychiatrists,29-1223.00,Psychiatrists
29-1067.00,Surgeons,29-1242.00,"Orthopedic Surgeons, Except Pediatric"
29-1067.00,Surgeons,29-1243.00,Pediatric Surgeons
29-1067.00,Surgeons,29-1249.00,"Surgeons, All Other"
29-1069.00,"Physicians and Surgeons, All Other",29-1212.00,Cardiologists
29-1069.00,"Physicians and Surgeons, All Other",29-1214.00,Emergency Medicine Physicians
29-1069.00,"Physicians and Surgeons, All Other",29-1229.00,"Physicians, All Other"
29-1069.01,Allergists and Immunologists,29-1229.01,Allergists and Immunologists
29-1069.02,Dermatologists,29-1213.00,Dermatologists
29-1069.03,Hospitalists,29-1229.02,Hospitalists
29-1069.04,Neurologists,29-1217.00,Neurologists
29-1069.05,Nuclear Medicine Physicians,29-1224.00,Radiologists
29-1069.06,Ophthalmologists,29-1241.00,"Ophthalmologists, Except Pediatric"
29-1069.07,Pathologists,29-1222.00,"Physicians, Pathologists"
29-1069.08,Physical Medicine and Rehabilitation Physicians,29-1229.04,Physical Medicine and Rehabilitation Physicians
29-1069.09,Preventive Medicine Physicians,29-1229.05,Preventive Medicine Physicians
29-1069.10,Radiologists,29-1224.00,Radiologists
29-1069.11,Sports Medicine Physicians,29-1229.06,Sports Medicine Physicians
29-1069.12,Urologists,29-1229.03,Urologists
29-1071.00,Physician Assistants,29-1071.00,Physician Assistants
29-1071.01,Anesthesiologist Assistants,29-1071.01,Anesthesiologist Assistants
29-1081.00,Podiatrists,29-1081.00,Podiatrists
29-1122.00,Occupational Therapists,29-1122.00,Occupational Therapists
29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists"
29-1123.00,Physical Therapists,29-1123.00,Physical Therapists
29-1124.00,Radiation Therapists,29-1124.00,Radiation Therapists
29-1125.00,Recreational Therapists,29-1125.00,Recreational Therapists
29-1125.01,Art Therapists,29-1129.01,Art Therapists
29-1125.02,Music Therapists,29-1129.02,Music Therapists
29-1126.00,Respiratory Therapists,29-1126.00,Respiratory Therapists
29-1127.00,Speech-Language Pathologists,29-1127.00,Speech-Language Pathologists
29-1128.00,Exercise Physiologists,29-1128.00,Exercise Physiologists
29-1129.00,"Therapists, All Other",29-1129.00,"Therapists, All Other"
29-1131.00,Veterinarians,29-1131.00,Veterinarians
29-1141.00,Registered Nurses,29-1141.00,Registered Nurses
29-1141.01,Acute Care Nurses,29-1141.01,Acute Care Nurses
29-1141.02,Advanced Practice Psychiatric Nurses,29-1141.02,Advanced Practice Psychiatric Nurses
29-1141.03,Critical Care Nurses,29-1141.03,Critical Care Nurses
29-1141.04,Clinical Nurse Specialists,29-1141.04,Clinical Nurse Specialists
29-1151.00,Nurse Anesthetists,29-1151.00,Nurse Anesthetists
29-1161.00,Nurse Midwives,29-1161.00,Nurse Midwives
29-1171.00,Nurse Practitioners,29-1171.00,Nurse Practitioners
29-1181.00,Audiologists,29-1181.00,Audiologists
29-1199.00,"Health Diagnosing and Treating Practitioners, All Other",29-1299.00,"Healthcare Diagnosing or Treating Practitioners, All Other"
29-1199.01,Acupuncturists,29-1291.00,Acupuncturists
29-1199.04,Naturopathic Physicians,29-1299.01,Naturopathic Physicians
29-1199.05,Orthoptists,29-1299.02,Orthoptists
29-2011.00,Medical and Clinical Laboratory Technologists,29-2011.00,Medical and Clinical Laboratory Technologists
29-2011.01,Cytogenetic Technologists,29-2011.01,Cytogenetic Technologists
29-2011.02,Cytotechnologists,29-2011.02,Cytotechnologists
29-2011.03,Histotechnologists and Histologic Technicians,29-2011.04,Histotechnologists
29-2011.03,Histotechnologists and Histologic Technicians,29-2012.01,Histology Technicians
29-2012.00,Medical and Clinical Laboratory Technicians,29-2012.00,Medical and Clinical Laboratory Technicians
29-2021.00,Dental Hygienists,29-1292.00,Dental Hygienists
29-2031.00,Cardiovascular Technologists and Technicians,29-2031.00,Cardiovascular Technologists and Technicians
29-2032.00,Diagnostic Medical Sonographers,29-2032.00,Diagnostic Medical Sonographers
29-2033.00,Nuclear Medicine Technologists,29-2033.00,Nuclear Medicine Technologists
29-2034.00,Radiologic Technologists,29-2034.00,Radiologic Technologists and Technicians
29-2035.00,Magnetic Resonance Imaging Technologists,29-2035.00,Magnetic Resonance Imaging Technologists
29-2041.00,Emergency Medical Technicians and Paramedics,29-2042.00,Emergency Medical Technicians
29-2041.00,Emergency Medical Technicians and Paramedics,29-2043.00,Paramedics
29-2051.00,Dietetic Technicians,29-2051.00,Dietetic Technicians
29-2052.00,Pharmacy Technicians,29-2052.00,Pharmacy Technicians
29-2053.00,Psychiatric Technicians,29-2053.00,Psychiatric Technicians
29-2054.00,Respiratory Therapy Technicians,29-2099.00,"Health Technologists and Technicians, All Other"
29-2055.00,Surgical Technologists,29-2055.00,Surgical Technologists
29-2056.00,Veterinary Technologists and Technicians,29-2056.00,Veterinary Technologists and Technicians
29-2057.00,Ophthalmic Medical Technicians,29-2057.00,Ophthalmic Medical Technicians
29-2061.00,Licensed Practical and Licensed Vocational Nurses,29-2061.00,Licensed Practical and Licensed Vocational Nurses
29-2071.00,Medical Records and Health Information Technicians,29-2072.00,Medical Records Specialists
29-2071.00,Medical Records and Health Information Technicians,29-9021.00,Health Information Technologists and Medical Registrars
29-2081.00,"Opticians, Dispensing",29-2081.00,"Opticians, Dispensing"
29-2091.00,Orthotists and Prosthetists,29-2091.00,Orthotists and Prosthetists
29-2092.00,Hearing Aid Specialists,29-2092.00,Hearing Aid Specialists
29-2099.00,"Health Technologists and Technicians, All Other",29-2036.00,Medical Dosimetrists
29-2099.00,"Health Technologists and Technicians, All Other",29-2099.00,"Health Technologists and Technicians, All Other"
29-2099.01,Neurodiagnostic Technologists,29-2099.01,Neurodiagnostic Technologists
29-2099.05,Ophthalmic Medical Technologists,29-2099.05,Ophthalmic Medical Technologists
29-2099.06,Radiologic Technicians,29-2034.00,Radiologic Technologists and Technicians
29-2099.07,Surgical Assistants,29-9093.00,Surgical Assistants
29-9011.00,Occupational Health and Safety Specialists,19-5011.00,Occupational Health and Safety Specialists
29-9012.00,Occupational Health and Safety Technicians,19-5012.00,Occupational Health and Safety Technicians
29-9091.00,Athletic Trainers,29-9091.00,Athletic Trainers
29-9092.00,Genetic Counselors,29-9092.00,Genetic Counselors
29-9099.00,"Healthcare Practitioners and Technical Workers, All Other",29-9021.00,Health Information Technologists and Medical Registrars
29-9099.00,"Healthcare Practitioners and Technical Workers, All Other",29-9093.00,Surgical Assistants
29-9099.00,"Healthcare Practitioners and Technical Workers, All Other",29-9099.00,"Healthcare Practitioners and Technical Workers, All Other"
29-9099.01,Midwives,29-9099.01,Midwives
31-1011.00,Home Health Aides,31-1121.00,Home Health Aides
31-1013.00,Psychiatric Aides,31-1133.00,Psychiatric Aides
31-1014.00,Nursing Assistants,31-1131.00,Nursing Assistants
31-1015.00,Orderlies,31-1132.00,Orderlies
31-2011.00,Occupational Therapy Assistants,31-2011.00,Occupational Therapy Assistants
31-2012.00,Occupational Therapy Aides,31-2012.00,Occupational Therapy Aides
31-2021.00,Physical Therapist Assistants,31-2021.00,Physical Therapist Assistants
31-2022.00,Physical Therapist Aides,31-2022.00,Physical Therapist Aides
31-9011.00,Massage Therapists,31-9011.00,Massage Therapists
31-9091.00,Dental Assistants,31-9091.00,Dental Assistants
31-9092.00,Medical Assistants,31-9092.00,Medical Assistants
31-9093.00,Medical Equipment Preparers,31-9093.00,Medical Equipment Preparers
31-9094.00,Medical Transcriptionists,31-9094.00,Medical Transcriptionists
31-9095.00,Pharmacy Aides,31-9095.00,Pharmacy Aides
31-9096.00,Veterinary Assistants and Laboratory Animal Caretakers,31-9096.00,Veterinary Assistants and Laboratory Animal Caretakers
31-9097.00,Phlebotomists,31-9097.00,Phlebotomists
31-9099.00,"Healthcare Support Workers, All Other",31-9099.00,"Healthcare Support Workers, All Other"
31-9099.01,Speech-Language Pathology Assistants,31-9099.01,Speech-Language Pathology Assistants
31-9099.02,Endoscopy Technicians,31-9099.02,Endoscopy Technicians
33-1011.00,First-Line Supervisors of Correctional Officers,33-1011.00,First-Line Supervisors of Correctional Officers
33-1012.00,First-Line Supervisors of Police and Detectives,33-1012.00,First-Line Supervisors of Police and Detectives
33-1021.00,First-Line Supervisors of Fire Fighting and Prevention Workers,33-1021.00,First-Line Supervisors of Firefighting and Prevention Workers
33-1021.01,Municipal Fire Fighting and Prevention Supervisors,33-1021.00,First-Line Supervisors of Firefighting and Prevention Workers
33-1021.02,Forest Fire Fighting and Prevention Supervisors,33-1021.00,First-Line Supervisors of Firefighting and Prevention Workers
33-1099.00,"First-Line Supervisors of Protective Service Workers, All Other",33-1091.00,First-Line Supervisors of Security Workers
33-1099.00,"First-Line Supervisors of Protective Service Workers, All Other",33-1099.00,"First-Line Supervisors of Protective Service Workers, All Other"
33-2011.00,Firefighters,33-2011.00,Firefighters
33-2011.01,Municipal Firefighters,33-2011.00,Firefighters
33-2011.02,Forest Firefighters,33-2011.00,Firefighters
33-2021.00,Fire Inspectors and Investigators,33-2021.00,Fire Inspectors and Investigators
33-2021.01,Fire Inspectors,33-2021.00,Fire Inspectors and Investigators
33-2021.02,Fire Investigators,33-2021.00,Fire Inspectors and Investigators
33-2022.00,Forest Fire Inspectors and Prevention Specialists,33-2022.00,Forest Fire Inspectors and Prevention Specialists
33-3011.00,Bailiffs,33-3011.00,Bailiffs
33-3012.00,Correctional Officers and Jailers,33-3012.00,Correctional Officers and Jailers
33-3021.00,Detectives and Criminal Investigators,33-3021.00,Detectives and Criminal Investigators
33-3021.01,Police Detectives,33-3021.00,Detectives and Criminal Investigators
33-3021.02,Police Identification and Records Officers,33-3021.02,Police Identification and Records Officers
33-3021.03,Criminal Investigators and Special Agents,33-3021.00,Detectives and Criminal Investigators
33-3021.05,Immigration and Customs Inspectors,33-3051.04,Customs and Border Protection Officers
33-3021.06,Intelligence Analysts,33-3021.06,Intelligence Analysts
33-3031.00,Fish and Game Wardens,33-3031.00,Fish and Game Wardens
33-3041.00,Parking Enforcement Workers,33-3041.00,Parking Enforcement Workers
33-3051.00,Police and Sheriff's Patrol Officers,33-3051.00,Police and Sheriff's Patrol Officers
33-3051.01,Police Patrol Officers,33-3051.00,Police and Sheriff's Patrol Officers
33-3051.03,Sheriffs and Deputy Sheriffs,33-3051.00,Police and Sheriff's Patrol Officers
33-3052.00,Transit and Railroad Police,33-3052.00,Transit and Railroad Police
33-9011.00,Animal Control Workers,33-9011.00,Animal Control Workers
33-9021.00,Private Detectives and Investigators,33-9021.00,Private Detectives and Investigators
33-9031.00,Gaming Surveillance Officers and Gaming Investigators,33-9031.00,Gambling Surveillance Officers and Gambling Investigators
33-9032.00,Security Guards,33-9032.00,Security Guards
33-9091.00,Crossing Guards,33-9091.00,Crossing Guards and Flaggers
33-9092.00,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",33-9092.00,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers"
33-9093.00,Transportation Security Screeners,33-9093.00,Transportation Security Screeners
33-9099.00,"Protective Service Workers, All Other",33-9094.00,School Bus Monitors
33-9099.00,"Protective Service Workers, All Other",33-9099.00,"Protective Service Workers, All Other"
33-9099.02,Retail Loss Prevention Specialists,33-9099.02,Retail Loss Prevention Specialists
35-1011.00,Chefs and Head Cooks,35-1011.00,Chefs and Head Cooks
35-1012.00,First-Line Supervisors of Food Preparation and Serving Workers,35-1012.00,First-Line Supervisors of Food Preparation and Serving Workers
35-2011.00,"Cooks, Fast Food",35-2011.00,"Cooks, Fast Food"
35-2012.00,"Cooks, Institution and Cafeteria",35-2012.00,"Cooks, Institution and Cafeteria"
35-2013.00,"Cooks, Private Household",35-2013.00,"Cooks, Private Household"
35-2014.00,"Cooks, Restaurant",35-2014.00,"Cooks, Restaurant"
35-2015.00,"Cooks, Short Order",35-2015.00,"Cooks, Short Order"
35-2019.00,"Cooks, All Other",35-2019.00,"Cooks, All Other"
35-2021.00,Food Preparation Workers,35-2021.00,Food Preparation Workers
35-3011.00,Bartenders,35-3011.00,Bartenders
35-3021.00,"Combined Food Preparation and Serving Workers, Including Fast Food",35-3023.00,Fast Food and Counter Workers
35-3022.00,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",35-3023.00,Fast Food and Counter Workers
35-3022.01,Baristas,35-3023.01,Baristas
35-3031.00,Waiters and Waitresses,35-3031.00,Waiters and Waitresses
35-3041.00,"Food Servers, Nonrestaurant",35-3041.00,"Food Servers, Nonrestaurant"
35-9011.00,Dining Room and Cafeteria Attendants and Bartender Helpers,35-9011.00,Dining Room and Cafeteria Attendants and Bartender Helpers
35-9021.00,Dishwashers,35-9021.00,Dishwashers
35-9031.00,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",35-9031.00,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop"
35-9099.00,"Food Preparation and Serving Related Workers, All Other",35-9099.00,"Food Preparation and Serving Related Workers, All Other"
37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers,37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers
37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers"
37-2011.00,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",37-2011.00,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners"
37-2012.00,Maids and Housekeeping Cleaners,37-2012.00,Maids and Housekeeping Cleaners
37-2019.00,"Building Cleaning Workers, All Other",37-2019.00,"Building Cleaning Workers, All Other"
37-2021.00,Pest Control Workers,37-2021.00,Pest Control Workers
37-3011.00,Landscaping and Groundskeeping Workers,37-3011.00,Landscaping and Groundskeeping Workers
37-3012.00,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",37-3012.00,"Pesticide Handlers, Sprayers, and Applicators, Vegetation"
37-3013.00,Tree Trimmers and Pruners,37-3013.00,Tree Trimmers and Pruners
37-3019.00,"Grounds Maintenance Workers, All Other",37-3019.00,"Grounds Maintenance Workers, All Other"
39-1011.00,Gaming Supervisors,39-1013.00,First-Line Supervisors of Gambling Services Workers
39-1012.00,Slot Supervisors,39-1013.00,First-Line Supervisors of Gambling Services Workers
39-1021.00,First-Line Supervisors of Personal Service Workers,39-1014.00,"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services"
39-1021.00,First-Line Supervisors of Personal Service Workers,39-1022.00,First-Line Supervisors of Personal Service Workers
39-1021.00,First-Line Supervisors of Personal Service Workers,53-1044.00,First-Line Supervisors of Passenger Attendants
39-1021.01,Spa Managers,11-9179.02,Spa Managers
39-2011.00,Animal Trainers,39-2011.00,Animal Trainers
39-2021.00,Nonfarm Animal Caretakers,39-2021.00,Animal Caretakers
39-3011.00,Gaming Dealers,39-3011.00,Gambling Dealers
39-3012.00,Gaming and Sports Book Writers and Runners,39-3012.00,Gambling and Sports Book Writers and Runners
39-3019.00,"Gaming Service Workers, All Other",39-3019.00,"Gambling Service Workers, All Other"
39-3021.00,Motion Picture Projectionists,39-3021.00,Motion Picture Projectionists
39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers",39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers"
39-3091.00,Amusement and Recreation Attendants,39-3091.00,Amusement and Recreation Attendants
39-3092.00,Costume Attendants,39-3092.00,Costume Attendants
