O*NET-SOC 2006 Code,O*NET-SOC 2006 Title,O*NET-SOC 2009 Code,O*NET-SOC 2009 Title
27-3043.05,"Poets, Lyricists and Creative Writers",27-3043.05,"Poets, Lyricists and Creative Writers"
27-3091.00,Interpreters and Translators,27-3091.00,Interpreters and Translators
27-3099.99,"Media and Communication Workers, All Other",27-3099.00,"Media and Communication Workers, All Other"
27-4011.00,Audio and Video Equipment Technicians,27-4011.00,Audio and Video Equipment Technicians
27-4012.00,Broadcast Technicians,27-4012.00,Broadcast Technicians
27-4013.00,Radio Operators,27-4013.00,Radio Operators
27-4014.00,Sound Engineering Technicians,27-4014.00,Sound Engineering Technicians
27-4021.00,Photographers,27-4021.00,Photographers
27-4031.00,"Camera Operators, Television, Video, and Motion Picture",27-4031.00,"Camera Operators, Television, Video, and Motion Picture"
27-4032.00,Film and Video Editors,27-4032.00,Film and Video Editors
27-4099.99,"Media and Communication Equipment Workers, All Other",27-4099.00,"Media and Communication Equipment Workers, All Other"
29-1011.00,Chiropractors,29-1011.00,Chiropractors
29-1021.00,"Dentists, General",29-1021.00,"Dentists, General"
29-1022.00,Oral and Maxillofacial Surgeons,29-1022.00,Oral and Maxillofacial Surgeons
29-1023.00,Orthodontists,29-1023.00,Orthodontists
29-1024.00,Prosthodontists,29-1024.00,Prosthodontists
29-1029.99,"Dentists, All Other Specialists",29-1029.00,"Dentists, All Other Specialists"
29-1031.00,Dietitians and Nutritionists,29-1031.00,Dietitians and Nutritionists
29-1041.00,Optometrists,29-1041.00,Optometrists
29-1051.00,Pharmacists,29-1051.00,Pharmacists
29-1061.00,Anesthesiologists,29-1061.00,Anesthesiologists
29-1062.00,Family and General Practitioners,29-1062.00,Family and General Practitioners
29-1063.00,"Internists, General",29-1063.00,"Internists, General"
29-1064.00,Obstetricians and Gynecologists,29-1064.00,Obstetricians and Gynecologists
29-1065.00,"Pediatricians, General",29-1065.00,"Pediatricians, General"
29-1066.00,Psychiatrists,29-1066.00,Psychiatrists
29-1067.00,Surgeons,29-1067.00,Surgeons
29-1069.99,"Physicians and Surgeons, All Other",29-1069.00,"Physicians and Surgeons, All Other"
29-1071.00,Physician Assistants,29-1071.00,Physician Assistants
29-1081.00,Podiatrists,29-1081.00,Podiatrists
29-1111.00,Registered Nurses,29-1111.00,Registered Nurses
29-1121.00,Audiologists,29-1121.00,Audiologists
29-1122.00,Occupational Therapists,29-1122.00,Occupational Therapists
29-1123.00,Physical Therapists,29-1123.00,Physical Therapists
29-1124.00,Radiation Therapists,29-1124.00,Radiation Therapists
29-1125.00,Recreational Therapists,29-1125.00,Recreational Therapists
29-1126.00,Respiratory Therapists,29-1126.00,Respiratory Therapists
29-1127.00,Speech-Language Pathologists,29-1127.00,Speech-Language Pathologists
29-1129.99,"Therapists, All Other",29-1129.00,"Therapists, All Other"
29-1131.00,Veterinarians,29-1131.00,Veterinarians
29-1199.99,"Health Diagnosing and Treating Practitioners, All Other",29-1199.00,"Health Diagnosing and Treating Practitioners, All Other"
29-2011.00,Medical and Clinical Laboratory Technologists,29-2011.00,Medical and Clinical Laboratory Technologists
29-2012.00,Medical and Clinical Laboratory Technicians,29-2012.00,Medical and Clinical Laboratory Technicians
29-2021.00,Dental Hygienists,29-2021.00,Dental Hygienists
29-2031.00,Cardiovascular Technologists and Technicians,29-2031.00,Cardiovascular Technologists and Technicians
29-2032.00,Diagnostic Medical Sonographers,29-2032.00,Diagnostic Medical Sonographers
29-2033.00,Nuclear Medicine Technologists,29-2033.00,Nuclear Medicine Technologists
29-2034.00,Radiologic Technologists and Technicians,29-2034.00,Radiologic Technologists and Technicians
29-2034.01,Radiologic Technologists,29-2034.01,Radiologic Technologists
29-2034.02,Radiologic Technicians,29-2034.02,Radiologic Technicians
29-2041.00,Emergency Medical Technicians and Paramedics,29-2041.00,Emergency Medical Technicians and Paramedics
29-2051.00,Dietetic Technicians,29-2051.00,Dietetic Technicians
29-2052.00,Pharmacy Technicians,29-2052.00,Pharmacy Technicians
29-2053.00,Psychiatric Technicians,29-2053.00,Psychiatric Technicians
29-2054.00,Respiratory Therapy Technicians,29-2054.00,Respiratory Therapy Technicians
29-2055.00,Surgical Technologists,29-2055.00,Surgical Technologists
29-2056.00,Veterinary Technologists and Technicians,29-2056.00,Veterinary Technologists and Technicians
29-2061.00,Licensed Practical and Licensed Vocational Nurses,29-2061.00,Licensed Practical and Licensed Vocational Nurses
29-2071.00,Medical Records and Health Information Technicians,29-2071.00,Medical Records and Health Information Technicians
29-2081.00,"Opticians, Dispensing",29-2081.00,"Opticians, Dispensing"
29-2091.00,Orthotists and Prosthetists,29-2091.00,Orthotists and Prosthetists
29-2099.99,"Health Technologists and Technicians, All Other",29-2099.00,"Health Technologists and Technicians, All Other"
29-9011.00,Occupational Health and Safety Specialists,29-9011.00,Occupational Health and Safety Specialists
29-9012.00,Occupational Health and Safety Technicians,29-9012.00,Occupational Health and Safety Technicians
29-9091.00,Athletic Trainers,29-9091.00,Athletic Trainers
29-9099.99,"Healthcare Practitioners and Technical Workers, All Other",29-9099.00,"Healthcare Practitioners and Technical Workers, All Other"
31-1011.00,Home Health Aides,31-1011.00,Home Health Aides
31-1012.00,"Nursing Aides, Orderlies, and Attendants",31-1012.00,"Nursing Aides, Orderlies, and Attendants"
31-1013.00,Psychiatric Aides,31-1013.00,Psychiatric Aides
31-2011.00,Occupational Therapist Assistants,31-2011.00,Occupational Therapist Assistants
31-2012.00,Occupational Therapist Aides,31-2012.00,Occupational Therapist Aides
31-2021.00,Physical Therapist Assistants,31-2021.00,Physical Therapist Assistants
31-2022.00,Physical Therapist Aides,31-2022.00,Physical Therapist Aides
31-9011.00,Massage Therapists,31-9011.00,Massage Therapists
31-9091.00,Dental Assistants,31-9091.00,Dental Assistants
31-9092.00,Medical Assistants,31-9092.00,Medical Assistants
31-9093.00,Medical Equipment Preparers,31-9093.00,Medical Equipment Preparers
31-9094.00,Medical Transcriptionists,31-9094.00,Medical Transcriptionists
31-9095.00,Pharmacy Aides,31-9095.00,Pharmacy Aides
31-9096.00,Veterinary Assistants and Laboratory Animal Caretakers,31-9096.00,Veterinary Assistants and Laboratory Animal Caretakers
31-9099.99,"Healthcare Support Workers, All Other",31-9099.00,"Healthcare Support Workers, All Other"
33-1011.00,First-Line Supervisors/Managers of Correctional Officers,33-1011.00,First-Line Supervisors/Managers of Correctional Officers
33-1012.00,First-Line Supervisors/Managers of Police and Detectives,33-1012.00,First-Line Supervisors/Managers of Police and Detectives
33-1021.00,First-Line Supervisors/Managers of Fire Fighting and Prevention Workers,33-1021.00,First-Line Supervisors/Managers of Fire Fighting and Prevention Workers
33-1021.01,Municipal Fire Fighting and Prevention Supervisors,33-1021.01,Municipal Fire Fighting and Prevention Supervisors
33-1021.02,Forest Fire Fighting and Prevention Supervisors,33-1021.02,Forest Fire Fighting and Prevention Supervisors
33-1099.99,"First-Line Supervisors/Managers, Protective Service Workers, All Other",33-1099.00,"First-Line Supervisors/Managers, Protective Service Workers, All Other"
33-2011.00,Fire Fighters,33-2011.00,Fire Fighters
33-2011.01,Municipal Fire Fighters,33-2011.01,Municipal Fire Fighters
33-2011.02,Forest Fire Fighters,33-2011.02,Forest Fire Fighters
33-2021.00,Fire Inspectors and Investigators,33-2021.00,Fire Inspectors and Investigators
33-2021.01,Fire Inspectors,33-2021.01,Fire Inspectors
33-2021.02,Fire Investigators,33-2021.02,Fire Investigators
33-2022.00,Forest Fire Inspectors and Prevention Specialists,33-2022.00,Forest Fire Inspectors and Prevention Specialists
33-3011.00,Bailiffs,33-3011.00,Bailiffs
33-3012.00,Correctional Officers and Jailers,33-3012.00,Correctional Officers and Jailers
33-3021.00,Detectives and Criminal Investigators,33-3021.00,Detectives and Criminal Investigators
33-3021.01,Police Detectives,33-3021.01,Police Detectives
33-3021.02,Police Identification and Records Officers,33-3021.02,Police Identification and Records Officers
33-3021.03,Criminal Investigators and Special Agents,33-3021.03,Criminal Investigators and Special Agents
33-3021.05,Immigration and Customs Inspectors,33-3021.05,Immigration and Customs Inspectors
33-3031.00,Fish and Game Wardens,33-3031.00,Fish and Game Wardens
33-3041.00,Parking Enforcement Workers,33-3041.00,Parking Enforcement Workers
33-3051.00,Police and Sheriff's Patrol Officers,33-3051.00,Police and Sheriff's Patrol Officers
33-3051.01,Police Patrol Officers,33-3051.01,Police Patrol Officers
33-3051.03,Sheriffs and Deputy Sheriffs,33-3051.03,Sheriffs and Deputy Sheriffs
33-3052.00,Transit and Railroad Police,33-3052.00,Transit and Railroad Police
33-9011.00,Animal Control Workers,33-9011.00,Animal Control Workers
33-9021.00,Private Detectives and Investigators,33-9021.00,Private Detectives and Investigators
33-9031.00,Gaming Surveillance Officers and Gaming Investigators,33-9031.00,Gaming Surveillance Officers and Gaming Investigators
33-9032.00,Security Guards,33-9032.00,Security Guards
33-9091.00,Crossing Guards,33-9091.00,Crossing Guards
33-9092.00,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",33-9092.00,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers"
33-9099.01,Transportation Security Screeners,33-9099.01,Transportation Security Officers
33-9099.99,"Protective Service Workers, All Other",33-9099.00,"Protective Service Workers, All Other"
35-1011.00,Chefs and Head Cooks,35-1011.00,Chefs and Head Cooks
35-1012.00,First-Line Supervisors/Managers of Food Preparation and Serving Workers,35-1012.00,First-Line Supervisors/Managers of Food Preparation and Serving Workers
35-2011.00,"Cooks, Fast Food",35-2011.00,"Cooks, Fast Food"
35-2012.00,"Cooks, Institution and Cafeteria",35-2012.00,"Cooks, Institution and Cafeteria"
35-2013.00,"Cooks, Private Household",35-2013.00,"Cooks, Private Household"
35-2014.00,"Cooks, Restaurant",35-2014.00,"Cooks, Restaurant"
35-2015.00,"Cooks, Short Order",35-2015.00,"Cooks, Short Order"
35-2019.99,"Cooks, All Other",35-2019.00,"Cooks, All Other"
35-2021.00,Food Preparation Workers,35-2021.00,Food Preparation Workers
35-3011.00,Bartenders,35-3011.00,Bartenders
35-3021.00,"Combined Food Preparation and Serving Workers, Including Fast Food",35-3021.00,"Combined Food Preparation and Serving Workers, Including Fast Food"
35-3022.00,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",35-3022.00,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop"
35-3031.00,Waiters and Waitresses,35-3031.00,Waiters and Waitresses
35-3041.00,"Food Servers, Nonrestaurant",35-3041.00,"Food Servers, Nonrestaurant"
35-9011.00,Dining Room and Cafeteria Attendants and Bartender Helpers,35-9011.00,Dining Room and Cafeteria Attendants and Bartender Helpers
35-9021.00,Dishwashers,35-9021.00,Dishwashers
35-9031.00,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",35-9031.00,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop"
35-9099.99,"Food Preparation and Serving Related Workers, All Other",35-9099.00,"Food Preparation and Serving Related Workers, All Other"
37-1011.00,First-Line Supervisors/Managers of Housekeeping and Janitorial Workers,37-1011.00,First-Line Supervisors/Managers of Housekeeping and Janitorial Workers
37-1012.00,"First-Line Supervisors/Managers of Landscaping, Lawn Service, and Groundskeeping Workers",37-1012.00,"First-Line Supervisors/Managers of Landscaping, Lawn Service, and Groundskeeping Workers"
37-2011.00,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",37-2011.00,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners"
37-2012.00,Maids and Housekeeping Cleaners,37-2012.00,Maids and Housekeeping Cleaners
37-2019.99,"Building Cleaning Workers, All Other",37-2019.00,"Building Cleaning Workers, All Other"
37-2021.00,Pest Control Workers,37-2021.00,Pest Control Workers
37-3011.00,Landscaping and Groundskeeping Workers,37-3011.00,Landscaping and Groundskeeping Workers
37-3012.00,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",37-3012.00,"Pesticide Handlers, Sprayers, and Applicators, Vegetation"
37-3013.00,Tree Trimmers and Pruners,37-3013.00,Tree Trimmers and Pruners
37-3019.99,"Grounds Maintenance Workers, All Other",37-3019.00,"Grounds Maintenance Workers, All Other"
39-1011.00,Gaming Supervisors,39-1011.00,Gaming Supervisors
39-1012.00,Slot Key Persons,39-1012.00,Slot Key Persons
39-1021.00,First-Line Supervisors/Managers of Personal Service Workers,39-1021.00,First-Line Supervisors/Managers of Personal Service Workers
39-2011.00,Animal Trainers,39-2011.00,Animal Trainers
39-2021.00,Nonfarm Animal Caretakers,39-2021.00,Nonfarm Animal Caretakers
39-3011.00,Gaming Dealers,39-3011.00,Gaming Dealers
39-3012.00,Gaming and Sports Book Writers and Runners,39-3012.00,Gaming and Sports Book Writers and Runners
39-3019.99,"Gaming Service Workers, All Other",39-3019.00,"Gaming Service Workers, All Other"
39-3021.00,Motion Picture Projectionists,39-3021.00,Motion Picture Projectionists
39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers",39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers"
39-3091.00,Amusement and Recreation Attendants,39-3091.00,Amusement and Recreation Attendants
39-3092.00,Costume Attendants,39-3092.00,Costume Attendants
39-3093.00,"Locker Room, Coatroom, and Dressing Room Attendants",39-3093.00,"Locker Room, Coatroom, and Dressing Room Attendants"
39-3099.99,"Entertainment Attendants and Related Workers, All Other",39-3099.00,"Entertainment Attendants and Related Workers, All Other"
39-4011.00,Embalmers,39-4011.00,Embalmers
39-4021.00,Funeral Attendants,39-4021.00,Funeral Attendants
39-5011.00,Barbers,39-5011.00,Barbers
39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists",39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists"
39-5091.00,"Makeup Artists, Theatrical and Performance",39-5091.00,"Makeup Artists, Theatrical and Performance"
39-5092.00,Manicurists and Pedicurists,39-5092.00,Manicurists and Pedicurists
39-5093.00,Shampooers,39-5093.00,Shampooers
39-5094.00,Skin Care Specialists,39-5094.00,Skin Care Specialists
39-6011.00,Baggage Porters and Bellhops,39-6011.00,Baggage Porters and Bellhops
39-6012.00,Concierges,39-6012.00,Concierges
39-6021.00,Tour Guides and Escorts,39-6021.00,Tour Guides and Escorts
39-6022.00,Travel Guides,39-6022.00,Travel Guides
39-6031.00,Flight Attendants,39-6031.00,Flight Attendants
39-6032.00,"Transportation Attendants, Except Flight Attendants and Baggage Porters",39-6032.00,"Transportation Attendants, Except Flight Attendants and Baggage Porters"
39-9011.00,Child Care Workers,39-9011.00,Child Care Workers
39-9011.01,Nannies,39-9011.01,Nannies
39-9021.00,Personal and Home Care Aides,39-9021.00,Personal and Home Care Aides
39-9031.00,Fitness Trainers and Aerobics Instructors,39-9031.00,Fitness Trainers and Aerobics Instructors
39-9032.00,Recreation Workers,39-9032.00,Recreation Workers
39-9041.00,Residential Advisors,39-9041.00,Residential Advisors
39-9099.99,"Personal Care and Service Workers, All Other",39-9099.00,"Personal Care and Service Workers, All Other"
41-1011.00,First-Line Supervisors/Managers of Retail Sales Workers,41-1011.00,First-Line Supervisors/Managers of Retail Sales Workers
41-1012.00,First-Line Supervisors/Managers of Non-Retail Sales Workers,41-1012.00,First-Line Supervisors/Managers of Non-Retail Sales Workers
41-2011.00,Cashiers,41-2011.00,Cashiers
41-2012.00,Gaming Change Persons and Booth Cashiers,41-2012.00,Gaming Change Persons and Booth Cashiers
41-2021.00,Counter and Rental Clerks,41-2021.00,Counter and Rental Clerks
41-2022.00,Parts Salespersons,41-2022.00,Parts Salespersons
41-2031.00,Retail Salespersons,41-2031.00,Retail Salespersons
41-3011.00,Advertising Sales Agents,41-3011.00,Advertising Sales Agents
41-3021.00,Insurance Sales Agents,41-3021.00,Insurance Sales Agents
41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",41-3031.00,"Securities, Commodities, and Financial Services Sales Agents"
41-3031.01,"Sales Agents, Securities and Commodities",41-3031.01,"Sales Agents, Securities and Commodities"
41-3031.02,"Sales Agents, Financial Services",41-3031.02,"Sales Agents, Financial Services"
41-3041.00,Travel Agents,41-3041.00,Travel Agents
41-3099.99,"Sales Representatives, Services, All Other",41-3099.00,"Sales Representatives, Services, All Other"
41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products"
41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products"
41-9011.00,Demonstrators and Product Promoters,41-9011.00,Demonstrators and Product Promoters
41-9012.00,Models,41-9012.00,Models
41-9021.00,Real Estate Brokers,41-9021.00,Real Estate Brokers
41-9022.00,Real Estate Sales Agents,41-9022.00,Real Estate Sales Agents
41-9031.00,Sales Engineers,41-9031.00,Sales Engineers
41-9041.00,Telemarketers,41-9041.00,Telemarketers
41-9091.00,"Door-To-Door Sales Workers, News and Street Vendors, and Related Workers",41-9091.00,"Door-To-Door Sales Workers, News and Street Vendors, and Related Workers"
41-9099.99,"Sales and Related Workers, All Other",41-9099.00,"Sales and Related Workers, All Other"
43-1011.00,First-Line Supervisors/Managers of Office and Administrative Support Workers,43-1011.00,First-Line Supervisors/Managers of Office and Administrative Support Workers
43-2011.00,"Switchboard Operators, Including Answering Service",43-2011.00,"Switchboard Operators, Including Answering Service"
43-2021.00,Telephone Operators,43-2021.00,Telephone Operators
43-2099.99,"Communications Equipment Operators, All Other",43-2099.00,"Communications Equipment Operators, All Other"
43-3011.00,Bill and Account Collectors,43-3011.00,Bill and Account Collectors
43-3021.00,Billing and Posting Clerks and Machine Operators,43-3021.00,Billing and Posting Clerks and Machine Operators
43-3021.01,Statement Clerks,43-3021.01,Statement Clerks
43-3021.02,"Billing, Cost, and Rate Clerks",43-3021.02,"Billing, Cost, and Rate Clerks"
43-3021.03,"Billing, Posting, and Calculating Machine Operators",43-3021.03,"Billing, Posting, and Calculating Machine Operators"
43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks"
43-3041.00,Gaming Cage Workers,43-3041.00,Gaming Cage Workers
43-3051.00,Payroll and Timekeeping Clerks,43-3051.00,Payroll and Timekeeping Clerks
43-3061.00,Procurement Clerks,43-3061.00,Procurement Clerks
43-3071.00,Tellers,43-3071.00,Tellers
43-4011.00,Brokerage Clerks,43-4011.00,Brokerage Clerks
43-4021.00,Correspondence Clerks,43-4021.00,Correspondence Clerks
43-4031.00,"Court, Municipal, and License Clerks",43-4031.00,"Court, Municipal, and License Clerks"
43-4031.01,Court Clerks,43-4031.01,Court Clerks
43-4031.02,Municipal Clerks,43-4031.02,Municipal Clerks
43-4031.03,License Clerks,43-4031.03,License Clerks
43-4041.00,"Credit Authorizers, Checkers, and Clerks",43-4041.00,"Credit Authorizers, Checkers, and Clerks"
43-4041.01,Credit Authorizers,43-4041.01,Credit Authorizers
43-4041.02,Credit Checkers,43-4041.02,Credit Checkers
43-4051.00,Customer Service Representatives,43-4051.00,Customer Service Representatives
43-4061.00,"Eligibility Interviewers, Government Programs",43-4061.00,"Eligibility Interviewers, Government Programs"
43-4071.00,File Clerks,43-4071.00,File Clerks
43-4081.00,"Hotel, Motel, and Resort Desk Clerks",43-4081.00,"Hotel, Motel, and Resort Desk Clerks"
43-4111.00,"Interviewers, Except Eligibility and Loan",43-4111.00,"Interviewers, Except Eligibility and Loan"
43-4121.00,"Library Assistants, Clerical",43-4121.00,"Library Assistants, Clerical"
43-4131.00,Loan Interviewers and Clerks,43-4131.00,Loan Interviewers and Clerks
43-4141.00,New Accounts Clerks,43-4141.00,New Accounts Clerks
43-4151.00,Order Clerks,43-4151.00,Order Clerks
43-4161.00,"Human Resources Assistants, Except Payroll and Timekeeping",43-4161.00,"Human Resources Assistants, Except Payroll and Timekeeping"
43-4171.00,Receptionists and Information Clerks,43-4171.00,Receptionists and Information Clerks
43-4181.00,Reservation and Transportation Ticket Agents and Travel Clerks,43-4181.00,Reservation and Transportation Ticket Agents and Travel Clerks
43-4199.99,"Information and Record Clerks, All Other",43-4199.00,"Information and Record Clerks, All Other"
43-5011.00,Cargo and Freight Agents,43-5011.00,Cargo and Freight Agents
43-5021.00,Couriers and Messengers,43-5021.00,Couriers and Messengers
43-5031.00,"Police, Fire, and Ambulance Dispatchers",43-5031.00,"Police, Fire, and Ambulance Dispatchers"
43-5032.00,"Dispatchers, Except Police, Fire, and Ambulance",43-5032.00,"Dispatchers, Except Police, Fire, and Ambulance"
43-5041.00,"Meter Readers, Utilities",43-5041.00,"Meter Readers, Utilities"
43-5051.00,Postal Service Clerks,43-5051.00,Postal Service Clerks
43-5052.00,Postal Service Mail Carriers,43-5052.00,Postal Service Mail Carriers
43-5053.00,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",43-5053.00,"Postal Service Mail Sorters, Processors, and Processing Machine Operators"
43-5061.00,"Production, Planning, and Expediting Clerks",43-5061.00,"Production, Planning, and Expediting Clerks"
43-5071.00,"Shipping, Receiving, and Traffic Clerks",43-5071.00,"Shipping, Receiving, and Traffic Clerks"
43-5081.00,Stock Clerks and Order Fillers,43-5081.00,Stock Clerks and Order Fillers
43-5081.01,"Stock Clerks, Sales Floor",43-5081.01,"Stock Clerks, Sales Floor"
43-5081.02,Marking Clerks,43-5081.02,Marking Clerks
43-5081.03,"Stock Clerks- Stockroom, Warehouse, or Storage Yard",43-5081.03,"Stock Clerks- Stockroom, Warehouse, or Storage Yard"
43-5081.04,"Order Fillers, Wholesale and Retail Sales",43-5081.04,"Order Fillers, Wholesale and Retail Sales"
43-5111.00,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",43-5111.00,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping"
43-6011.00,Executive Secretaries and Administrative Assistants,43-6011.00,Executive Secretaries and Administrative Assistants
43-6012.00,Legal Secretaries,43-6012.00,Legal Secretaries
43-6013.00,Medical Secretaries,43-6013.00,Medical Secretaries
43-6014.00,"Secretaries, Except Legal, Medical, and Executive",43-6014.00,"Secretaries, Except Legal, Medical, and Executive"
43-9011.00,Computer Operators,43-9011.00,Computer Operators
43-9021.00,Data Entry Keyers,43-9021.00,Data Entry Keyers
43-9022.00,Word Processors and Typists,43-9022.00,Word Processors and Typists
43-9031.00,Desktop Publishers,43-9031.00,Desktop Publishers
43-9041.00,Insurance Claims and Policy Processing Clerks,43-9041.00,Insurance Claims and Policy Processing Clerks
43-9041.01,Insurance Claims Clerks,43-9041.01,Insurance Claims Clerks
43-9041.02,Insurance Policy Processing Clerks,43-9041.02,Insurance Policy Processing Clerks
43-9051.00,"Mail Clerks and Mail Machine Operators, Except Postal Service",43-9051.00,"Mail Clerks and Mail Machine Operators, Except Postal Service"
43-9061.00,"Office Clerks, General",43-9061.00,"Office Clerks, General"
43-9071.00,"Office Machine Operators, Except Computer",43-9071.00,"Office Machine Operators, Except Computer"
43-9081.00,Proofreaders and Copy Markers,43-9081.00,Proofreaders and Copy Markers
43-9111.00,Statistical Assistants,43-9111.00,Statistical Assistants
43-9199.99,"Office and Administrative Support Workers, All Other",43-9199.00,"Office and Administrative Support Workers, All Other"
45-1011.00,"First-Line Supervisors/Managers of Farming, Fishing, and Forestry Workers",45-1011.00,"First-Line Supervisors/Managers of Farming, Fishing, and Forestry Workers"
45-1011.05,First-Line Supervisors/Managers of Logging Workers,45-1011.05,First-Line Supervisors/Managers of Logging Workers
45-1011.06,First-Line Supervisors/Managers of Aquacultural Workers,45-1011.06,First-Line Supervisors/Managers of Aquacultural Workers
45-1011.07,First-Line Supervisors/Managers of Agricultural Crop and Horticultural Workers,45-1011.07,First-Line Supervisors/Managers of Agricultural Crop and Horticultural Workers
45-1011.08,First-Line Supervisors/Managers of Animal Husbandry and Animal Care Workers,45-1011.08,First-Line Supervisors/Managers of Animal Husbandry and Animal Care Workers
45-1012.00,Farm Labor Contractors,45-1012.00,Farm Labor Contractors
45-2011.00,Agricultural Inspectors,45-2011.00,Agricultural Inspectors
45-2021.00,Animal Breeders,45-2021.00,Animal Breeders
45-2041.00,"Graders and Sorters, Agricultural Products",45-2041.00,"Graders and Sorters, Agricultural Products"
45-2091.00,Agricultural Equipment Operators,45-2091.00,Agricultural Equipment Operators
45-2092.00,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",45-2092.00,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse"
45-2092.01,Nursery Workers,45-2092.01,Nursery Workers
45-2092.02,"Farmworkers and Laborers, Crop",45-2092.02,"Farmworkers and Laborers, Crop"
45-2093.00,"Farmworkers, Farm and Ranch Animals",45-2093.00,"Farmworkers, Farm and Ranch Animals"
45-2099.99,"Agricultural Workers, All Other",45-2099.00,"Agricultural Workers, All Other"
45-3011.00,Fishers and Related Fishing Workers,45-3011.00,Fishers and Related Fishing Workers
45-3021.00,Hunters and Trappers,45-3021.00,Hunters and Trappers
45-4011.00,Forest and Conservation Workers,45-4011.00,Forest and Conservation Workers
45-4021.00,Fallers,45-4021.00,Fallers
45-4022.00,Logging Equipment Operators,45-4022.00,Logging Equipment Operators
45-4023.00,Log Graders and Scalers,45-4023.00,Log Graders and Scalers
45-4029.99,"Logging Workers, All Other",45-4029.00,"Logging Workers, All Other"
47-1011.00,First-Line Supervisors/Managers of Construction Trades and Extraction Workers,47-1011.00,First-Line Supervisors/Managers of Construction Trades and Extraction Workers
47-2011.00,Boilermakers,47-2011.00,Boilermakers
47-2021.00,Brickmasons and Blockmasons,47-2021.00,Brickmasons and Blockmasons
47-2022.00,Stonemasons,47-2022.00,Stonemasons
47-2031.00,Carpenters,47-2031.00,Carpenters
47-2031.01,Construction Carpenters,47-2031.01,Construction Carpenters
47-2031.02,Rough Carpenters,47-2031.02,Rough Carpenters
47-2041.00,Carpet Installers,47-2041.00,Carpet Installers
47-2042.00,"Floor Layers, Except Carpet, Wood, and Hard Tiles",47-2042.00,"Floor Layers, Except Carpet, Wood, and Hard Tiles"
47-2043.00,Floor Sanders and Finishers,47-2043.00,Floor Sanders and Finishers
47-2044.00,Tile and Marble Setters,47-2044.00,Tile and Marble Setters
47-2051.00,Cement Masons and Concrete Finishers,47-2051.00,Cement Masons and Concrete Finishers
47-2053.00,Terrazzo Workers and Finishers,47-2053.00,Terrazzo Workers and Finishers
47-2061.00,Construction Laborers,47-2061.00,Construction Laborers
47-2071.00,"Paving, Surfacing, and Tamping Equipment Operators",47-2071.00,"Paving, Surfacing, and Tamping Equipment Operators"
47-2072.00,Pile-Driver Operators,47-2072.00,Pile-Driver Operators
47-2073.00,Operating Engineers and Other Construction Equipment Operators,47-2073.00,Operating Engineers and Other Construction Equipment Operators
47-2081.00,Drywall and Ceiling Tile Installers,47-2081.00,Drywall and Ceiling Tile Installers
47-2082.00,Tapers,47-2082.00,Tapers
47-2111.00,Electricians,47-2111.00,Electricians
47-2121.00,Glaziers,47-2121.00,Glaziers
47-2131.00,"Insulation Workers, Floor, Ceiling, and Wall",47-2131.00,"Insulation Workers, Floor, Ceiling, and Wall"
47-2132.00,"Insulation Workers, Mechanical",47-2132.00,"Insulation Workers, Mechanical"
47-2141.00,"Painters, Construction and Maintenance",47-2141.00,"Painters, Construction and Maintenance"
47-2142.00,Paperhangers,47-2142.00,Paperhangers
47-2151.00,Pipelayers,47-2151.00,Pipelayers
47-2152.00,"Plumbers, Pipefitters, and Steamfitters",47-2152.00,"Plumbers, Pipefitters, and Steamfitters"
47-2152.01,Pipe Fitters and Steamfitters,47-2152.01,Pipe Fitters and Steamfitters
47-2152.02,Plumbers,47-2152.02,Plumbers
47-2161.00,Plasterers and Stucco Masons,47-2161.00,Plasterers and Stucco Masons
47-2171.00,Reinforcing Iron and Rebar Workers,47-2171.00,Reinforcing Iron and Rebar Workers
47-2181.00,Roofers,47-2181.00,Roofers
