O*NET-SOC 2000 Occupation Listings,,
O*NET-SOC 2000 occupations,,
,,
O*NET-SOC 2000 Code,O*NET-SOC 2000 Title,O*NET-SOC 2000 Description
19-4041.01,Geological Data Technicians,"Measure, record, and evaluate geological data, using sonic, electronic, electrical, seismic, or gravity-measuring instruments to prospect for oil or gas. May collect and evaluate core samples and cuttings."
19-4041.02,Geological Sample Test Technicians,"Test and analyze geological samples, crude oil, or petroleum products to detect presence of petroleum, gas, or mineral deposits indicating potential for exploration and production, or to determine physical and chemical properties to ensure that products meet quality standards."
19-4051.00,Nuclear Technicians,"Assist scientists in both laboratory and production activities by performing technical tasks involving nuclear physics, primarily in operation, maintenance, production, and quality control support activities."
19-4051.01,Nuclear Equipment Operation Technicians,"Operate equipment used for the release, control, and utilization of nuclear energy to assist scientists in laboratory and production activities."
19-4051.02,Nuclear Monitoring Technicians,"Collect and test samples to monitor results of nuclear experiments and contamination of humans, facilities, and environment."
19-4061.00,Social Science Research Assistants,"Assist social scientists in laboratory, survey, and other social research. May perform publication activities, laboratory analysis, quality control, or data management. Normally these individuals work under the direct supervision of a social scientist and assist in those activities which are more routine."
19-4061.01,City and Regional Planning Aides,"Compile data from various sources, such as maps, reports, and field and file investigations, for use by city planner in making planning studies."
19-4091.00,"Environmental Science and Protection Technicians, Including Health","Performs laboratory and field tests to monitor the environment and investigate sources of pollution, including those that affect health. Under direction of an environmental scientist or specialist, may collect samples of gases, soil, water, and other materials for testing and take corrective actions as assigned."
19-4092.00,Forensic Science Technicians,"Collect, identify, classify, and analyze physical evidence related to criminal investigations. Perform tests on weapons or substances, such as fiber, hair, and tissue to determine significance to investigation. May testify as expert witnesses on evidence or crime laboratory techniques. May serve as specialists in area of expertise, such as ballistics, fingerprinting, handwriting, or biochemistry."
19-4093.00,Forest and Conservation Technicians,"Compile data pertaining to size, content, condition, and other characteristics of forest tracts, under direction of foresters; train and lead forest workers in forest propagation, fire prevention and suppression. May assist conservation scientists in managing, improving, and protecting rangelands and wildlife habitats, and help provide technical assistance regarding the conservation of soil, water, and related natural resources."
19-4099.99,"Life, Physical, and Social Science Technicians, All Other","All life, physical, and social science technicians not listed separately."
21-1011.00,Substance Abuse and Behavioral Disorder Counselors,"Counsel and advise individuals with alcohol, tobacco, drug, or other problems, such as gambling and eating disorders. May counsel individuals, families, or groups or engage in prevention programs."
21-1012.00,"Educational, Vocational, and School Counselors",Counsel individuals and provide group educational and vocational guidance services.
21-1013.00,Marriage and Family Therapists,"Diagnose and treat mental and emotional disorders, whether cognitive, affective, or behavioral, within the context of marriage and family systems. Apply psychotherapeutic and family systems theories and techniques in the delivery of professional services to individuals, couples, and families for the purpose of treating such diagnosed nervous and mental disorders."
21-1014.00,Mental Health Counselors,"Counsel with emphasis on prevention. Work with individuals and groups to promote optimum mental health. May help individuals deal with addictions and substance abuse; family, parenting, and marital problems; suicide; stress management; problems with self-esteem; and issues associated with aging and mental and emotional health."
21-1015.00,Rehabilitation Counselors,"Counsel individuals to maximize the independence and employability of persons coping with personal, social, and vocational difficulties that result from birth defects, illness, disease, accidents, or the stress of daily life. Coordinate activities for residents of care and treatment facilities. Assess client needs and design and implement rehabilitation programs that may include personal and vocational counseling, training, and job placement."
21-1019.99,"Counselors, All Other",All counselors not listed separately.
21-1021.00,"Child, Family, and School Social Workers","Provide social services and assistance to improve the social and psychological functioning of children and their families and to maximize the family well-being and the academic functioning of children. May assist single parents, arrange adoptions, and find foster homes for abandoned or abused children. In schools, they address such problems as teenage pregnancy, misbehavior, and truancy. May also advise teachers on how to deal with problem children."
21-1022.00,Medical and Public Health Social Workers,"Provide persons, families, or vulnerable populations with the psychosocial support needed to cope with chronic, acute, or terminal illnesses, such as Alzheimer's, cancer, or AIDS. Services include advising family care givers, providing patient education and counseling, and making necessary referrals for other social services."
21-1023.00,Mental Health and Substance Abuse Social Workers,"Assess and treat individuals with mental, emotional, or substance abuse problems, including abuse of alcohol, tobacco, and/or other drugs. Activities may include individual and group therapy, crisis intervention, case management, client advocacy, prevention, and education."
21-1029.99,"Social Workers, All Other",All social workers not listed separately.
21-1091.00,Health Educators,"Promote, maintain, and improve individual and community health by assisting individuals and communities to adopt healthy behaviors. Collect and analyze data to identify community needs prior to planning, implementing, monitoring, and evaluating programs designed to encourage healthy lifestyles, policies and environments. May also serve as a resource to assist individuals, other professionals, or the community, and may administer fiscal resources for health education programs."
21-1092.00,Probation Officers and Correctional Treatment Specialists,"Provide social services to assist in rehabilitation of law offenders in custody or on probation or parole. Make recommendations for actions involving formulation of rehabilitation plan and treatment of offender, including conditional release and education and employment stipulations."
21-1093.00,Social and Human Service Assistants,"Assist professionals from a wide variety of fields, such as psychology, rehabilitation, or social work, to provide client services, as well as support for families. May assist clients in identifying available benefits and social and community services and help clients obtain them. May assist social workers with developing, organizing, and conducting programs to prevent and resolve problems relevant to substance abuse, human relationships, rehabilitation, or adult daycare."
21-1099.99,"Community and Social Service Specialists, All Other",All community and social service specialists not listed separately.
21-2011.00,Clergy,Conduct religious worship and perform other spiritual functions associated with beliefs and practices of religious faith or denomination. Provide spiritual and moral guidance and assistance to members.
21-2021.00,"Directors, Religious Activities and Education","Direct and coordinate activities of a denominational group to meet religious needs of students. Plan, direct, or coordinate church school programs designed to promote religious education among church membership. May provide counseling and guidance relative to marital, health, financial, and religious problems."
21-2099.99,"Religious Workers, All Other",All religious workers not listed separately.
23-1011.00,Lawyers,"Represent clients in criminal and civil litigation and other legal proceedings, draw up legal documents, and manage or advise clients on legal transactions. May specialize in a single area or may practice broadly in many areas of law."
23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers","Conduct hearings to decide or recommend decisions on claims concerning government programs or other government-related matters and prepare decisions. Determine penalties or the existence and the amount of liability, or recommend the acceptance or rejection of claims, or compromise settlements."
23-1022.00,"Arbitrators, Mediators, and Conciliators",Facilitate negotiation and conflict resolution through dialogue. Resolve conflicts outside of the court system by mutual consent of parties involved.
23-1023.00,"Judges, Magistrate Judges, and Magistrates","Arbitrate, advise, adjudicate, or administer justice in a court of law. May sentence defendant in criminal cases according to government statutes. May determine liability of defendant in civil cases. May issue marriage licenses and perform wedding ceremonies."
23-2011.00,Paralegals and Legal Assistants,"Assist lawyers by researching legal precedent, investigating facts, or preparing legal documents. Conduct research to support a legal proceeding, to formulate a defense, or to initiate legal action."
23-2091.00,Court Reporters,"Use verbatim methods and equipment to capture, store, retrieve, and transcribe pretrial and trial proceedings or other information. Includes stenocaptioners who operate computerized stenographic captioning equipment to provide captions of live or prerecorded broadcasts for hearing-impaired viewers."
23-2092.00,Law Clerks,Assist lawyers or judges by researching or preparing legal documents. May meet with clients or assist lawyers and judges in court.
23-2093.00,"Title Examiners, Abstractors, and Searchers","Search real estate records, examine titles, or summarize pertinent legal or insurance details for a variety of purposes. May compile lists of mortgages, contracts, and other instruments pertaining to titles by searching public and private records for law firms, real estate agencies, or title insurance companies."
23-2093.01,Title Searchers,"Compile list of mortgages, deeds, contracts, judgments, and other instruments (chain) pertaining to title by searching public and private records of real estate or title insurance company."
23-2093.02,Title Examiners and Abstractors,"Title Examiners: Search public records and examine titles to determine legal condition of property title. Copy or summarize (abstracts) recorded documents which affect condition of title to property (e.g., mortgages, trust deeds, and contracts). May prepare and issue policy that guarantees legality of title. Abstractors: Summarize pertinent legal or insurance details or sections of statutes or case law from reference books for purpose of examination, proof, or ready reference. Search out titles to determine if title deed is correct."
23-2099.99,"Legal Support Workers, All Other",All legal support workers not listed separately.
25-1011.00,"Business Teachers, Postsecondary","Teach courses in business administration and management, such as accounting, finance, human resources, labor relations, marketing, and operations research."
25-1021.00,"Computer Science Teachers, Postsecondary","Teach courses in computer science. May specialize in a field of computer science, such as the design and function of computers or operations and research analysis."
25-1022.00,"Mathematical Science Teachers, Postsecondary","Teach courses pertaining to mathematical concepts, statistics, and actuarial science and to the application of original and standardized mathematical techniques in solving specific problems and situations."
25-1031.00,"Architecture Teachers, Postsecondary","Teach courses in architecture and architectural design, such as architectural environmental design, interior architecture/design, and landscape architecture."
25-1032.00,"Engineering Teachers, Postsecondary","Teach courses pertaining to the application of physical laws and principles of engineering for the development of machines, materials, instruments, processes, and services. Includes teachers of subjects, such as chemical, civil, electrical, industrial, mechanical, mineral, and petroleum engineering. Includes both teachers primarily engaged in teaching and those who do a combination of both teaching and research."
25-1041.00,"Agricultural Sciences Teachers, Postsecondary","Teach courses in the agricultural sciences. Includes teachers of agronomy, dairy sciences, fisheries management, horticultural sciences, poultry sciences, range management, and agricultural soil conservation."
25-1042.00,"Biological Science Teachers, Postsecondary",Teach courses in biological sciences.
25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary",Teach courses in environmental and conservation science.
25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary","Teach courses in the physical sciences, except chemistry and physics."
25-1052.00,"Chemistry Teachers, Postsecondary","Teach courses pertaining to the chemical and physical properties and compositional changes of substances. Work may include instruction in the methods of qualitative and quantitative chemical analysis. Includes both teachers primarily engaged in teaching, and those who do a combination of both teaching and research."
25-1053.00,"Environmental Science Teachers, Postsecondary",Teach courses in environmental science.
25-1054.00,"Physics Teachers, Postsecondary",Teach courses pertaining to the laws of matter and energy. Includes both teachers primarily engaged in teaching and those who do a combination of both teaching and research.
25-1061.00,"Anthropology and Archeology Teachers, Postsecondary",Teach courses in anthropology or archeology.
25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary","Teach courses pertaining to the culture and development of an area (e.g., Latin America), an ethnic group, or any other group (e.g., women's studies, urban affairs)."
25-1063.00,"Economics Teachers, Postsecondary",Teach courses in economics.
25-1064.00,"Geography Teachers, Postsecondary",Teach courses in geography.
25-1065.00,"Political Science Teachers, Postsecondary","Teach courses in political science, international affairs, and international relations."
25-1066.00,"Psychology Teachers, Postsecondary","Teach courses in psychology, such as child, clinical, and developmental psychology, and psychological counseling."
25-1067.00,"Sociology Teachers, Postsecondary",Teach courses in sociology.
25-1069.99,"Social Sciences Teachers, Postsecondary, All Other",All postsecondary social sciences teachers not listed separately.
25-1071.00,"Health Specialties Teachers, Postsecondary","Teach courses in health specialties, such as veterinary medicine, dentistry, pharmacy, therapy, laboratory technology, and public health."
25-1072.00,"Nursing Instructors and Teachers, Postsecondary",Demonstrate and teach patient care in classroom and clinical units to nursing students. Includes both teachers primarily engaged in teaching and those who do a combination of both teaching and research.
25-1081.00,"Education Teachers, Postsecondary","Teach courses pertaining to education, such as counseling, curriculum, guidance, instruction, teacher education, and teaching English as a second language."
25-1082.00,"Library Science Teachers, Postsecondary",Teach courses in library science.
25-1111.00,"Criminal Justice and Law Enforcement Teachers, Postsecondary","Teach courses in criminal justice, corrections, and law enforcement administration."
25-1112.00,"Law Teachers, Postsecondary",Teach courses in law.
25-1113.00,"Social Work Teachers, Postsecondary",Teach courses in social work.
25-1121.00,"Art, Drama, and Music Teachers, Postsecondary","Teach courses in drama, music, and the arts including fine and applied art, such as painting and sculpture, or design and crafts."
25-1122.00,"Communications Teachers, Postsecondary","Teach courses in communications, such as organizational communications, public relations, radio/television broadcasting, and journalism."
25-1123.00,"English Language and Literature Teachers, Postsecondary","Teach courses in English language and literature, including linguistics and comparative literature."
25-1124.00,"Foreign Language and Literature Teachers, Postsecondary","Teach courses in foreign (i.e., other than English) languages and literature."
25-1125.00,"History Teachers, Postsecondary",Teach courses in human history and historiography.
25-1126.00,"Philosophy and Religion Teachers, Postsecondary","Teach courses in philosophy, religion, and theology."
25-1191.00,Graduate Teaching Assistants,"Assist department chairperson, faculty members, or other professional staff members in college or university by performing teaching or teaching-related duties, such as teaching lower level courses, developing teaching materials, preparing and giving examinations, and grading examinations or papers. Graduate assistants must be enrolled in a graduate school program. Graduate assistants who primarily perform non-teaching duties, such as laboratory research, should be reported in the occupational category related to the work performed."
25-1192.00,"Home Economics Teachers, Postsecondary","Teach courses in child care, family relations, finance, nutrition, and related subjects as pertaining to home management."
25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary","Teach courses pertaining to recreation, leisure, and fitness studies, including exercise physiology and facilities management."
25-1194.00,"Vocational Education Teachers, Postsecondary","Teach or instruct vocational or occupational subjects at the postsecondary level (but at less than the baccalaureate) to students who have graduated or left high school. Includes correspondence school instructors; industrial, commercial and government training instructors; and adult education teachers and instructors who prepare persons to operate industrial machinery and equipment and transportation and communications equipment. Teaching may take place in public or private schools whose primary business is education or in a school associated with an organization whose primary business is other than education."
25-1199.99,"Postsecondary Teachers, All Other",All postsecondary teachers not listed separately.
25-2011.00,"Preschool Teachers, Except Special Education","Instruct children (normally up to 5 years of age) in activities designed to promote social, physical, and intellectual growth needed for primary school in preschool, day care center, or other child development facility. May be required to hold State certification."
25-2012.00,"Kindergarten Teachers, Except Special Education","Teach elemental natural and social science, personal hygiene, music, art, and literature to children from 4 to 6 years old. Promote physical, mental, and social development. May be required to hold State certification."
25-2021.00,"Elementary School Teachers, Except Special Education","Teach pupils in public or private schools at the elementary level basic academic, social, and other formative skills."
25-2022.00,"Middle School Teachers, Except Special and Vocational Education","Teach students in public or private schools in one or more subjects at the middle, intermediate, or junior high level, which falls between elementary and senior high school as defined by applicable State laws and regulations."
25-2023.00,"Vocational Education Teachers, Middle School",Teach or instruct vocational or occupational subjects at the middle school level.
25-2031.00,"Secondary School Teachers, Except Special and Vocational Education","Instruct students in secondary public or private schools in one or more subjects at the secondary level, such as English, mathematics, or social studies. May be designated according to subject matter specialty, such as typing instructors, commercial teachers, or English teachers."
25-2032.00,"Vocational Education Teachers, Secondary School",Teach or instruct vocational or occupational subjects at the secondary school level.
25-2041.00,"Special Education Teachers, Preschool, Kindergarten, and Elementary School",Teach elementary and preschool school subjects to educationally and physically handicapped students. Includes teachers who specialize and work with audibly and visually handicapped students and those who teach basic academic and life processes skills to the mentally impaired.
25-2042.00,"Special Education Teachers, Middle School",Teach middle school subjects to educationally and physically handicapped students. Includes teachers who specialize and work with audibly and visually handicapped students and those who teach basic academic and life processes skills to the mentally impaired.
25-2043.00,"Special Education Teachers, Secondary School",Teach secondary school subjects to educationally and physically handicapped students. Includes teachers who specialize and work with audibly and visually handicapped students and those who teach basic academic and life processes skills to the mentally impaired.
25-3011.00,"Adult Literacy, Remedial Education, and GED Teachers and Instructors","Teach or instruct out-of-school youths and adults in remedial education classes, preparatory classes for the General Educational Development test, literacy, or English as a Second Language. Teaching may or may not take place in a traditional educational institution."
25-3021.00,Self-Enrichment Education Teachers,"Teach or instruct courses other than those that normally lead to an occupational objective or degree. Courses may include self-improvement, nonvocational, and nonacademic subjects. Teaching may or may not take place in a traditional educational institution."
25-3099.99,"Teachers and Instructors, All Other",All teachers and instructors not listed separately.
25-4011.00,Archivists,"Appraise, edit, and direct safekeeping of permanent records and historically valuable documents. Participate in research activities based on archival materials."
25-4012.00,Curators,"Administer affairs of museum and conduct research programs. Direct instructional, research, and public service activities of institution."
25-4013.00,Museum Technicians and Conservators,"Prepare specimens, such as fossils, skeletal parts, lace, and textiles, for museum collection and exhibits. May restore documents or install, arrange, and exhibit materials."
25-4021.00,Librarians,"Administer libraries and perform related library services. Work in a variety of settings, including public libraries, schools, colleges and universities, museums, corporations, government agencies, law firms, non-profit organizations, and healthcare providers. Tasks may include selecting, acquiring, cataloguing, classifying, circulating, and maintaining library materials; and furnishing reference, bibliographical, and readers' advisory services. May perform in-depth, strategic research, and synthesize, analyze, edit, and filter information. May set up or work with databases and information systems to catalogue and access information."
25-4031.00,Library Technicians,"Assist librarians by helping readers in the use of library catalogs, databases, and indexes to locate books and other materials; and by answering questions that require only brief consultation of standard reference. Compile records; sort and shelve books; remove or repair damaged books; register patrons; check materials in and out of the circulation process. Replace materials in shelving area (stacks) or files. Includes bookmobile drivers who operate bookmobiles or light trucks that pull trailers to specific locations on a predetermined schedule and assist with providing services in mobile libraries."
25-9011.00,Audio-Visual Collections Specialists,"Prepare, plan, and operate audio-visual teaching aids for use in education. May record, catalogue, and file audio-visual materials."
25-9021.00,Farm and Home Management Advisors,"Advise, instruct, and assist individuals and families engaged in agriculture, agricultural-related processes, or home economics activities. Demonstrate procedures and apply research findings to solve problems; instruct and train in product development, sales, and the utilization of machinery and equipment to promote general welfare. Includes county agricultural agents, feed and farm management advisers, home economists, and extension service advisors."
25-9031.00,Instructional Coordinators,"Develop instructional material, coordinate educational content, and incorporate current technology in specialized fields that provide guidelines to educators and instructors for developing curricula and conducting courses."
25-9041.00,Teacher Assistants,Perform duties that are instructional in nature or deliver direct services to students or parents. Serve in a position for which a teacher or another professional has ultimate responsibility for the design and implementation of educational programs and services.
25-9099.99,"Education, Training, and Library Workers, All Other","All education, training, and library workers not listed separately."
27-1011.00,Art Directors,"Formulate design concepts and presentation approaches, and direct workers engaged in art work, layout design, and copy writing for visual communications media, such as magazines, books, newspapers, and packaging."
27-1012.00,Craft Artists,"Create or reproduce hand-made objects for sale and exhibition using a variety of techniques, such as welding, weaving, pottery, and needlecraft."
27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators","Create original artwork using any of a wide variety of mediums and techniques, such as painting and sculpture."
27-1013.01,Painters and Illustrators,"Paint or draw subject material to produce original artwork or illustrations, using watercolors, oils, acrylics, tempera, or other paint mediums."
27-1013.02,Sketch Artists,"Sketch likenesses of subjects according to observation or descriptions either to assist law enforcement agencies in identifying suspects, to depict court room scenes, or for entertainment purposes of patrons, using mediums such as pencil, charcoal, and pastels."
27-1013.03,Cartoonists,"Draw cartoons or other animated images for publication, motion pictures, or television. May specialize in creating storyboards, laying out scenes, painting, developing characters, or cleanup."
27-1013.04,Sculptors,"Design and construct three-dimensional art works, using materials such as stone, wood, plaster, and metal and employing various manual and tool techniques."
27-1014.00,Multi-Media Artists and Animators,"Create special effects, animation, or other visual images using film, video, computers, or other electronic tools and media for use in products or creations, such as computer games, movies, music videos, and commercials."
27-1019.99,"Artists and Related Workers, All Other",All artists and related workers not listed separately.
27-1021.00,Commercial and Industrial Designers,"Develop and design manufactured products, such as cars, home appliances, and children's toys. Combine artistic talent with research on product use, marketing, and materials to create the most functional and appealing product design."
27-1022.00,Fashion Designers,Design clothing and accessories. Create original garments or design garments that follow well established fashion trends. May develop the line of color and kinds of materials.
27-1023.00,Floral Designers,"Design, cut, and arrange live, dried, or artificial flowers and foliage."
27-1024.00,Graphic Designers,"Design or create graphics to meet specific commercial or promotional needs, such as packaging, displays, or logos. May use a variety of mediums to achieve artistic or decorative effects."
27-1025.00,Interior Designers,"Plan, design, and furnish interiors of residential, commercial, or industrial buildings. Formulate design which is practical, aesthetic, and conducive to intended purposes, such as raising productivity, selling merchandise, or improving life style. May specialize in a particular field, style, or phase of interior design."
27-1026.00,Merchandise Displayers and Window Trimmers,"Plan and erect commercial displays, such as those in windows and interiors of retail stores and at trade exhibitions."
27-1027.00,Set and Exhibit Designers,"Design special exhibits and movie, television, and theater sets. May study scripts, confer with directors, and conduct research to determine appropriate architectural styles."
27-1027.01,Set Designers,"Design sets for theatrical, motion picture, and television productions."
27-1027.02,Exhibit Designers,"Plan, design, and oversee construction and installation of permanent and temporary exhibits and displays."
27-1029.99,"Designers, All Other",All designers not listed separately.
27-2011.00,Actors,"Play parts in stage, television, radio, video, or motion picture productions for entertainment, information, or instruction. Interpret serious or comic role by speech, gesture, and body movement to entertain or inform audience. May dance and sing."
27-2012.00,Producers and Directors,"Produce or direct stage, television, radio, video, or motion picture productions for entertainment, information, or instruction. Responsible for creative decisions, such as interpretation of script, choice of guests, set design, sound, special effects, and choreography."
27-2012.01,Producers,"Plan and coordinate various aspects of radio, television, stage, or motion picture production, such as selecting script, coordinating writing, directing and editing, and arranging financing."
27-2012.02,"Directors- Stage, Motion Pictures, Television, and Radio","Interpret script, conduct rehearsals, and direct activities of cast and technical crew for stage, motion pictures, television, or radio programs."
27-2012.03,Program Directors,"Direct and coordinate activities of personnel engaged in preparation of radio or television station program schedules and programs, such as sports or news."
27-2012.04,Talent Directors,"Audition and interview performers to select most appropriate talent for parts in stage, television, radio, or motion picture productions."
27-2012.05,Technical Directors/Managers,"Coordinate activities of technical departments, such as taping, editing, engineering, and maintenance, to produce radio or television programs."
27-2021.00,Athletes and Sports Competitors,Compete in athletic events.
27-2022.00,Coaches and Scouts,Instruct or coach groups or individuals in the fundamentals of sports. Demonstrate techniques and methods of participation. May evaluate athletes' strengths and weaknesses as possible recruits or to improve the athletes' technique to prepare them for competition. Those required to hold teaching degrees should be reported in the appropriate teaching category.
27-2023.00,"Umpires, Referees, and Other Sports Officials",Officiate at competitive athletic or sporting events. Detect infractions of rules and decide penalties according to established regulations.
27-2031.00,Dancers,Perform dances. May also sing or act.
27-2032.00,Choreographers,Create and teach dance. May direct and stage presentations.
27-2041.00,Music Directors and Composers,"Conduct, direct, plan, and lead instrumental or vocal performances by musical groups, such as orchestras, choirs, and glee clubs. Includes arrangers, composers, choral directors, and orchestrators."
27-2041.01,Music Directors,"Direct and conduct instrumental or vocal performances by musical groups, such as orchestras or choirs."
27-2041.02,Music Arrangers and Orchestrators,Write and transcribe musical scores.
27-2041.03,Composers,"Compose music for orchestra, choral group, or band."
27-2042.00,Musicians and Singers,"Play one or more musical instruments or entertain by singing songs in recital, in accompaniment, or as a member of an orchestra, band, or other musical group. Musical performers may entertain on-stage, radio, TV, film, video, or record in studios."
27-2042.01,Singers,"Sing songs on stage, radio, television, or motion pictures."
27-2042.02,"Musicians, Instrumental","Play one or more musical instruments in recital, in accompaniment, or as members of an orchestra, band, or other musical group."
27-2099.99,"Entertainers and Performers, Sports and Related Workers, All Other","All entertainers and performers, sports and related workers not listed separately."
27-3011.00,Radio and Television Announcers,"Talk on radio or television. May interview guests, act as master of ceremonies, read news flashes, identify station by giving call letters, or announce song title and artist."
27-3012.00,Public Address System and Other Announcers,"Make announcements over loud speaker at sporting or other public events. May act as master of ceremonies or disc jockey at weddings, parties, clubs, or other gathering places."
27-3021.00,Broadcast News Analysts,"Analyze, interpret, and broadcast news received from various sources."
27-3022.00,Reporters and Correspondents,"Collect and analyze facts about newsworthy events by interview, investigation, or observation. Report and write stories for newspaper, news magazine, radio, or television."
27-3031.00,Public Relations Specialists,"Engage in promoting or creating good will for individuals, groups, or organizations by writing or selecting favorable publicity material and releasing it through various communications media. May prepare and arrange displays, and make speeches."
27-3041.00,Editors,"Perform variety of editorial duties, such as laying out, indexing, and revising content of written materials, in preparation for final publication."
27-3042.00,Technical Writers,"Write technical materials, such as equipment manuals, appendices, or operating and maintenance instructions. May assist in layout work."
27-3043.00,Writers and Authors,"Originate and prepare written material, such as scripts, stories, advertisements, and other material."
27-3043.01,Poets and Lyricists,Write poetry or song lyrics for publication or performance.
27-3043.02,Creative Writers,"Create original written works, such as plays or prose, for publication or performance."
27-3043.03,Caption Writers,Write caption phrases of dialogue for hearing-impaired and foreign language-speaking viewers of movie or television productions.
27-3043.04,Copy Writers,Write advertising copy for use by publication or broadcast media to promote sale of goods and services.
27-3091.00,Interpreters and Translators,"Translate or interpret written, oral, or sign language text into another language for others."
27-3099.99,"Media and Communication Workers, All Other",All media and communication workers not listed separately.
27-4011.00,Audio and Video Equipment Technicians,"Set up or set up and operate audio and video equipment including microphones, sound speakers, video screens, projectors, video monitors, recording equipment, connecting wires and cables, sound and mixing boards, and related electronic equipment for concerts, sports events, meetings and conventions, presentations, and news conferences. May also set up and operate associated spotlights and other custom lighting systems."
27-4012.00,Broadcast Technicians,"Set up, operate, and maintain the electronic equipment used to transmit radio and television programs. Control audio equipment to regulate volume level and quality of sound during radio and television broadcasts. Operate radio transmitter to broadcast radio and television programs."
27-4013.00,Radio Operators,Receive and transmit communications using radiotelegraph or radiotelephone equipment in accordance with government regulations. May repair equipment.
27-4014.00,Sound Engineering Technicians,"Operate machines and equipment to record, synchronize, mix, or reproduce music, voices, or sound effects in sporting arenas, theater productions, recording studios, or movie and video productions."
27-4021.00,Photographers,"Photograph persons, subjects, merchandise, or other commercial products. May develop negatives and produce finished prints."
27-4021.01,Professional Photographers,"Photograph subjects or news worthy events, using still cameras, color or black-and-white film, and variety of photographic accessories."
27-4021.02,"Photographers, Scientific","Photograph variety of subject material to illustrate or record scientific/medical data or phenomena, utilizing knowledge of scientific procedures and photographic technology and techniques."
27-4031.00,"Camera Operators, Television, Video, and Motion Picture","Operate television, video, or motion picture camera to photograph images or scenes for various purposes, such as TV broadcasts, advertising, video production, or motion pictures."
27-4032.00,Film and Video Editors,"Edit motion picture soundtracks, film, and video."
27-4099.99,"Media and Communication Equipment Workers, All Other",All media and communication equipment workers not listed separately.
29-1011.00,Chiropractors,"Adjust spinal column and other articulations of the body to correct abnormalities of the human body believed to be caused by interference with the nervous system. Examine patient to determine nature and extent of disorder. Manipulate spine or other involved area. May utilize supplementary measures, such as exercise, rest, water, light, heat, and nutritional therapy."
29-1021.00,"Dentists, General","Diagnose and treat diseases, injuries, and malformations of teeth and gums and related oral structures. May treat diseases of nerve, pulp, and other dental tissues affecting vitality of teeth."
29-1022.00,Oral and Maxillofacial Surgeons,"Perform surgery on mouth, jaws, and related head and neck structure to execute difficult and multiple extractions of teeth, to remove tumors and other abnormal growths, to correct abnormal jaw relations by mandibular or maxillary revision, to prepare mouth for insertion of dental prosthesis, or to treat fractured jaws."
29-1023.00,Orthodontists,"Examine, diagnose, and treat dental malocclusions and oral cavity anomalies. Design and fabricate appliances to realign teeth and jaws to produce and maintain normal function and to improve appearance."
29-1024.00,Prosthodontists,"Construct oral prostheses to replace missing teeth and other oral structures to correct natural and acquired deformation of mouth and jaws, to restore and maintain oral function, such as chewing and speaking, and to improve appearance."
29-1029.99,"Dentists, All Other Specialists",All dentists not listed separately.
29-1031.00,Dietitians and Nutritionists,"Plan and conduct food service or nutritional programs to assist in the promotion of health and control of disease. May supervise activities of a department providing quantity food services, counsel individuals, or conduct nutritional research."
29-1041.00,Optometrists,"Diagnose, manage, and treat conditions and diseases of the human eye and visual system. Examine eyes and visual system, diagnose problems or impairments, prescribe corrective lenses, and provide treatment. May prescribe therapeutic drugs to treat specific eye conditions."
29-1051.00,Pharmacists,"Compound and dispense medications following prescriptions issued by physicians, dentists, or other authorized medical practitioners."
29-1061.00,Anesthesiologists,Administer anesthetics during surgery or other medical procedures.
29-1062.00,Family and General Practitioners,"Diagnose, treat, and help prevent diseases and injuries that commonly occur in the general population."
29-1063.00,"Internists, General",Diagnose and provide non-surgical treatment of diseases and injuries of internal organ systems. Provide care mainly for adults who have a wide range of problems associated with the internal organs.
29-1064.00,Obstetricians and Gynecologists,"Diagnose, treat, and help prevent diseases of women, especially those affecting the reproductive system and the process of childbirth."
29-1065.00,"Pediatricians, General","Diagnose, treat, and help prevent children's diseases and injuries."
29-1066.00,Psychiatrists,"Diagnose, treat, and help prevent disorders of the mind."
29-1067.00,Surgeons,"Treat diseases, injuries, and deformities by invasive methods, such as manual manipulation or by using instruments and appliances."
29-1069.99,"Physicians and Surgeons, All Other",All physicians and surgeons not listed separately.
29-1071.00,Physician Assistants,"Provide healthcare services typically performed by a physician, under the supervision of a physician. Conduct complete physicals, provide treatment, and counsel patients. May, in some cases, prescribe medication. Must graduate from an accredited educational program for physician assistants."
29-1081.00,Podiatrists,Diagnose and treat diseases and deformities of the human foot.
29-1111.00,Registered Nurses,"Assess patient health problems and needs, develop and implement nursing care plans, and maintain medical records. Administer nursing care to ill, injured, convalescent, or disabled patients. May advise patients on health maintenance and disease prevention or provide case management. Licensing or registration required. Includes advance practice nurses such as: nurse practitioners, clinical nurse specialists, certified nurse midwives, and certified registered nurse anesthetists. Advanced practice nursing is practiced by RNs who have specialized formal, post-basic education and who function in highly autonomous and specialized roles."
29-1121.00,Audiologists,Assess and treat persons with hearing and related disorders. May fit hearing aids and provide auditory training. May perform research related to hearing problems.
